City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nogliki,51.8333,143.1667,43.2,96,100,6.2,RU,1686622345
1,port elizabeth,-33.918,25.5701,55.69,65,0,8.05,ZA,1686622512
2,bethel,41.3712,-73.414,67.64,89,100,9.22,US,1686622573
3,ushuaia,-54.8,-68.3,40.66,75,20,24.16,AR,1686622573
4,yellowknife,62.456,-114.3525,45.12,70,75,6.91,CA,1686622573
5,kavaratti,10.5669,72.642,85.12,75,100,21.27,IN,1686622574
6,nelson bay,-32.7167,152.15,63.0,83,100,7.0,AU,1686622574
7,papatowai,-46.5619,169.4708,52.59,79,28,5.77,NZ,1686622574
8,port-aux-francais,-49.35,70.2167,43.25,89,100,31.07,TF,1686622574
9,aasiaat,68.7098,-52.8699,30.52,84,42,9.64,GL,1686622574
10,dryden,49.7833,-92.7503,70.09,43,0,3.44,CA,1686622518
11,albany,42.6001,-73.9662,69.33,84,100,1.99,US,1686622313
12,iqaluit,63.7506,-68.5145,33.53,69,75,10.36,CA,1686622461
13,oranjemund,-28.55,16.4333,54.28,82,0,3.11,NA,1686622575
14,tiksi,71.6872,128.8694,35.96,96,100,6.71,RU,1686622575
15,inhambane,-23.865,35.3833,67.06,89,51,6.91,MZ,1686622575
16,bredasdorp,-34.5322,20.0403,57.11,73,67,25.34,ZA,1686622575
17,tomatlan,19.9333,-105.25,78.1,79,23,4.32,MX,1686622575
18,rio branco,-9.9747,-67.81,74.01,100,40,3.44,BR,1686622417
19,margaret river,-33.95,115.0667,60.39,69,100,16.51,AU,1686622575
20,lata,40.1629,-8.3327,65.07,98,100,3.8,PT,1686622575
21,grytviken,-54.2811,-36.5092,27.3,85,94,9.04,GS,1686622576
22,vila velha,-20.3297,-40.2925,75.15,90,20,9.22,BR,1686622576
23,waitangi,-43.9535,-176.5597,51.82,89,94,3.0,NZ,1686622576
24,harper,4.375,-7.7169,77.72,77,96,8.59,LR,1686622576
25,badger,64.8,-147.5333,63.52,44,100,17.27,US,1686622576
26,klyuchi,52.2667,79.1667,63.75,64,16,9.28,RU,1686622576
27,blackmans bay,-43.0167,147.3167,53.73,77,100,7.65,AU,1686622576
28,thanh hoa,19.8,105.7667,88.84,65,100,3.71,VN,1686622576
29,edinburgh of the seven seas,-37.0676,-12.3116,59.18,90,100,18.72,SH,1686622576
30,longyearbyen,78.2186,15.6401,37.24,75,75,11.5,SJ,1686622577
31,illapel,-31.6308,-71.1653,49.66,63,0,0.27,CL,1686622572
32,puerto natales,-51.7236,-72.4875,35.08,96,100,4.38,CL,1686622577
33,adamstown,-25.066,-130.1015,68.74,64,28,7.72,PN,1686622577
34,mejit,10.2753,170.8646,81.95,80,79,19.57,MH,1686622577
35,uturoa,-16.7333,-151.4333,81.09,69,25,15.52,PF,1686622577
36,colonia,50.9333,6.95,65.86,59,0,4.61,DE,1686622577
37,keflavik,64.0049,-22.5624,46.87,81,0,2.3,IS,1686622461
38,paracuru,-3.41,-39.0306,81.1,85,0,8.86,BR,1686622577
39,shingu,33.7333,135.9833,83.07,60,100,2.64,JP,1686622473
40,plastun,44.7561,136.2939,56.14,89,100,5.44,RU,1686622578
41,fale old settlement,-9.3852,-171.2468,83.21,77,12,14.61,TK,1686622578
42,lebu,-37.6167,-73.65,46.15,74,0,14.07,CL,1686622578
43,weno,7.4515,151.8468,89.55,70,75,9.22,FM,1686622467
44,alice springs,-23.7,133.8833,64.22,31,0,10.36,AU,1686622578
45,mahibadhoo,3.7833,72.9667,83.8,77,86,15.23,MV,1686622578
46,olyokminsk,60.3736,120.4264,56.98,31,6,8.28,RU,1686622474
47,morehead city,34.7229,-76.726,77.02,90,100,13.0,US,1686622578
48,suntar,62.1444,117.6319,59.02,32,9,7.9,RU,1686622343
49,kingston,17.997,-76.7936,83.35,76,20,14.97,JM,1686622578
50,puerto ayora,-0.7393,-90.3518,79.56,92,73,8.99,EC,1686622578
51,olonkinbyen,70.9221,-8.7187,35.69,87,100,19.82,SJ,1686622579
52,georgetown,5.4112,100.3354,87.73,76,20,8.05,MY,1686622579
53,thompson,55.7435,-97.8558,46.56,81,100,11.5,CA,1686622449
54,jamestown,42.097,-79.2353,56.79,79,100,9.22,US,1686622358
55,magadan,59.5667,150.8,65.53,85,89,10.0,RU,1686622579
56,whitehorse,60.7161,-135.0538,62.31,22,40,19.57,CA,1686622325
57,castro,-24.7911,-50.0119,53.74,98,100,10.69,BR,1686622579
58,mount gambier,-37.8333,140.7667,53.46,82,100,10.92,AU,1686622579
59,kruisfontein,-34.0033,24.7314,49.89,69,86,10.78,ZA,1686622579
60,sisimiut,66.9395,-53.6735,31.15,86,21,6.82,GL,1686622579
61,queenstown,-31.8976,26.8753,45.43,59,67,14.74,ZA,1686622580
62,rampura,30.25,75.2333,96.15,31,0,12.97,IN,1686622580
63,hinton,53.4001,-117.5857,73.72,41,100,5.93,CA,1686622580
64,ar rahad,12.7167,30.65,84.4,54,73,7.61,SD,1686622580
65,nova sintra,14.8667,-24.7167,70.09,85,100,21.09,CV,1686622580
66,lawas,13.764,121.0566,86.99,69,100,9.26,PH,1686622580
67,margate,51.3813,1.3862,59.7,84,1,4.0,GB,1686622580
68,vorgashor,67.5833,63.95,44.8,57,100,11.18,RU,1686622580
69,isafjordur,66.0755,-23.124,45.93,81,52,7.05,IS,1686622580
70,antofagasta,-23.65,-70.4,60.08,80,48,6.06,CL,1686622564
71,invercargill,-46.4,168.35,52.72,83,72,4.07,NZ,1686622581
72,severoural'sk,60.1533,59.952,52.0,57,24,6.67,RU,1686622581
73,chake chake,-5.2459,39.7666,75.24,78,3,7.61,TZ,1686622581
74,al kharijah,25.4514,30.5464,85.55,26,0,3.24,EG,1686622581
75,tura,25.5198,90.2201,79.52,87,9,5.64,IN,1686622581
76,sao jose da coroa grande,-8.8978,-35.1478,76.98,84,18,10.92,BR,1686622581
77,baker city,44.7749,-117.8344,73.11,53,40,11.5,US,1686622581
78,valparaiso,-33.0393,-71.6273,40.64,100,0,4.61,CL,1686622428
79,st. john's,47.5649,-52.7093,45.79,94,100,16.11,CA,1686622360
80,lauro de freitas,-12.8944,-38.3272,80.62,78,40,5.75,BR,1686622581
81,hadibu,12.65,54.0333,82.56,81,100,21.97,YE,1686622581
82,santa barbara,34.7333,-120.0343,60.22,72,0,10.36,US,1686622582
83,vadso,70.0744,29.7487,48.36,61,100,13.8,NO,1686622522
84,le port,-20.9373,55.2919,71.89,91,10,7.92,RE,1686622540
85,kiunga,-6.1219,141.2906,78.21,95,91,3.51,PG,1686622582
86,taoudenni,22.6783,-3.9836,92.7,11,59,8.52,ML,1686622582
87,sao joao da barra,-21.6403,-41.0511,73.06,87,89,6.42,BR,1686622582
88,pandan,14.0453,124.1694,89.06,61,100,5.41,PH,1686622582
89,talnakh,69.4865,88.3972,47.21,73,97,4.09,RU,1686622444
90,ilulissat,69.2167,-51.1,35.62,75,75,0.0,GL,1686622582
91,lazaro cardenas,17.9583,-102.2,81.43,75,1,7.83,MX,1686622582
92,motygino,58.1831,94.7592,60.58,57,71,8.08,RU,1686622582
93,sacaba,20.5833,-89.9833,84.45,71,26,6.51,MX,1686622583
94,kavieng,-2.5744,150.7967,84.67,74,66,10.76,PG,1686622583
95,san luis,-33.295,-66.3356,38.3,38,0,5.91,AR,1686622583
96,bechar,31.6167,-2.2167,80.92,32,0,6.91,DZ,1686622583
97,happy valley-goose bay,53.3168,-60.3315,59.31,47,75,4.61,CA,1686622510
98,ribeira grande,38.5167,-28.7,65.77,97,8,1.99,PT,1686622583
99,cox's bazar,21.4532,91.9798,81.99,84,100,13.73,BD,1686622583
100,gemena,3.25,19.7667,69.12,97,100,2.28,CD,1686622583
101,sao vicente,-23.9631,-46.3919,72.99,26,100,14.92,BR,1686622579
102,labrador city,52.9463,-66.9114,44.51,87,40,0.0,CA,1686622583
103,port lincoln,-34.7333,135.8667,57.15,57,92,23.24,AU,1686622583
104,chenaran,36.6455,59.1212,73.87,28,0,0.67,IR,1686622584
105,minas de marcona,-15.2119,-75.1103,54.18,85,83,18.7,PE,1686622584
106,hamilton,39.1834,-84.5333,59.77,71,20,4.61,US,1686622454
107,anadyr,64.75,177.4833,63.1,48,0,6.71,RU,1686622449
108,dondo,-19.6094,34.7431,62.44,70,24,5.86,MZ,1686622584
109,hawaiian paradise park,19.5933,-154.9731,83.71,74,0,1.01,US,1686622584
110,qaqortoq,60.7167,-46.0333,44.08,76,100,6.06,GL,1686622501
111,coquimbo,-29.9533,-71.3436,51.53,81,100,3.44,CL,1686622584
112,timmins,48.4669,-81.3331,58.82,100,100,8.05,CA,1686622475
113,port sudan,19.6175,37.2164,86.05,42,1,6.64,SD,1686622584
114,la passe,45.5549,-0.8967,64.63,92,100,5.53,FR,1686622584
115,saint-philippe,-21.3585,55.7679,71.19,75,0,3.83,RE,1686622449
116,taltal,-25.4,-70.4833,55.35,80,0,2.1,CL,1686622585
117,nar'yan-mar,67.6713,53.087,47.01,69,72,8.63,RU,1686622585
118,saudarkrokur,65.7461,-19.6394,48.07,81,9,6.73,IS,1686622585
119,fort bragg,35.139,-79.006,73.54,88,75,3.44,US,1686622389
120,sinop,41.7711,34.8709,58.5,93,88,1.92,TR,1686622585
121,santa catalina,9.3337,122.8637,87.78,64,40,2.93,PH,1686622585
122,mata-utu,-13.2816,-176.1745,82.98,76,97,13.4,WF,1686622585
123,pulandian,39.3953,121.9669,73.36,52,9,6.08,CN,1686622585
124,hermanus,-34.4187,19.2345,60.8,86,100,29.39,ZA,1686622454
125,polyarnyy,69.1989,33.4478,48.67,71,99,7.65,RU,1686622585
126,dudinka,69.4058,86.1778,47.62,61,80,6.11,RU,1686622488
127,haiku-pauwela,20.9219,-156.3051,86.02,56,0,21.85,US,1686622586
128,kodiak,57.79,-152.4072,56.71,47,20,13.8,US,1686622516
129,kisangani,0.5167,25.2,69.44,97,51,1.48,CD,1686622586
130,luderitz,-26.6481,15.1594,54.64,81,0,11.59,NA,1686622586
131,dubbo,-32.25,148.6167,64.53,63,0,12.66,AU,1686622586
132,iskushuban,10.2837,50.23,85.75,40,100,23.44,SO,1686622586
